name,origin,year,mpg,cylinders,engine,horsepower,weight,acceleration
volvo 245,European,76,20.0,4,130.0,102.0,3150,15.7
amc matador,American,76,15.5,8,304.0,120.0,3962,13.9
amc hornet sportabout (sw),American,71,18.0,6,258.0,110.0,2962,13.5
amc hornet,American,73,18.0,6,232.0,100.0,2945,16.0
vw dasher (diesel),European,80,43.4,4,90.0,48.0,2335,23.7
chevrolet monte carlo s,American,73,15.0,8,350.0,145.0,4082,13.0
volvo 145e (sw),European,72,18.0,4,121.0,112.0,2933,14.5
amc matador (sw),American,74,14.0,8,304.0,150.0,4257,15.5
ford mustang,American,71,18.0,6,250.0,88.0,3139,14.5
dodge aries wagon (sw),American,81,25.8,4,156.0,92.0,2620,14.4
ford ltd,American,73,13.0,8,351.0,158.0,4363,13.0
chevrolet nova,American,74,15.0,6,250.0,100.0,3336,17.0
ford torino,American,70,17.0,8,302.0,140.0,3449,10.5
chevrolet chevelle malibu classic,American,74,16.0,6,250.0,100.0,3781,17.0
chevrolet bel air,American,75,15.0,8,350.0,145.0,4440,14.0
ford futura,American,78,18.1,8,302.0,139.0,3205,11.2
chevroelt chevelle malibu,American,75,16.0,6,250.0,105.0,3897,18.5
datsun 280-zx,Japanese,80,32.7,6,168.0,132.0,2910,11.4
toyota mark ii,Japanese,73,20.0,6,156.0,122.0,2807,13.5
toyota corona,Japanese,75,24.0,4,134.0,96.0,2702,13.5
datsun 1200,Japanese,71,35.0,4,72.0,69.0,1613,18.0
chevrolet chevelle malibu classic,American,76,17.5,8,305.0,140.0,4215,13.0
audi fox,European,74,29.0,4,98.0,83.0,2219,16.5
buick skylark limited,American,79,28.4,4,151.0,90.0,2670,16.0
volkswagen jetta,European,81,33.0,4,105.0,74.0,2190,14.2
fiat 128,European,73,29.0,4,68.0,49.0,1867,19.5
ford granada gl,American,81,20.2,6,200.0,88.0,3060,17.1
ford gran torino,American,73,14.0,8,302.0,137.0,4042,14.5
plymouth champ,American,81,39.0,4,86.0,64.0,1875,16.4
ford gran torino,American,76,14.5,8,351.0,152.0,4215,12.8
pontiac phoenix,American,82,27.0,4,151.0,90.0,2735,18.0
ford escort 2h,American,81,29.9,4,98.0,65.0,2380,20.7
dodge d100,American,76,13.0,8,318.0,150.0,3755,14.0
subaru dl,Japanese,80,33.8,4,97.0,67.0,2145,18.0
mazda rx-4,Japanese,77,21.5,3,80.0,110.0,2720,13.5
chevrolet impala,American,73,11.0,8,400.0,150.0,4997,14.0
chevrolet citation,American,79,28.8,6,173.0,115.0,2595,11.3
oldsmobile omega brougham,American,79,26.8,6,173.0,115.0,2700,12.9
ford pinto,American,75,18.0,6,171.0,97.0,2984,14.5
ford granada ghia,American,76,18.0,6,250.0,78.0,3574,21.0
peugeot 504,European,76,19.0,4,120.0,88.0,3270,21.9
dodge colt hatchback custom,American,79,35.7,4,98.0,80.0,1915,14.4
chevrolet impala,American,72,13.0,8,350.0,165.0,4274,12.0
chevy c10,American,76,13.0,8,350.0,145.0,4055,12.0
dodge dart custom,American,73,15.0,8,318.0,150.0,3399,11.0
dodge aspen 6,American,79,20.6,6,225.0,110.0,3360,16.6
ford fairmont (man),American,78,25.1,4,140.0,88.0,2720,15.4
ford ranger,American,82,28.0,4,120.0,79.0,2625,18.6
datsun 210 mpg,Japanese,81,37.0,4,85.0,65.0,1975,19.4
ford gran torino,American,74,16.0,8,302.0,140.0,4141,14.0
toyota corona hardtop,Japanese,72,24.0,4,113.0,95.0,2278,15.5
buick century,American,75,17.0,6,231.0,110.0,3907,21.0
renault 12 (sw),European,72,26.0,4,96.0,69.0,2189,18.0
ford torino (sw),American,70,,8,351.0,153.0,4034,11.0
ford maverick,American,76,24.0,6,200.0,81.0,3012,17.6
honda civic,Japanese,74,24.0,4,120.0,97.0,2489,15.0
plymouth valiant,American,73,18.0,6,225.0,105.0,3121,16.5
volkswagen dasher,European,75,25.0,4,90.0,71.0,2223,16.5
cadillac eldorado,American,79,23.0,8,350.0,125.0,3900,17.4
dodge charger 2.2,American,82,36.0,4,135.0,84.0,2370,13.0
mazda glc,Japanese,80,46.6,4,86.0,65.0,2110,17.9
oldsmobile omega,American,73,11.0,8,350.0,180.0,3664,11.0
chevrolet vega (sw),American,71,22.0,4,140.0,72.0,2408,19.0
audi 100 ls,European,70,24.0,4,107.0,90.0,2430,14.5
buick century 350,American,73,13.0,8,350.0,175.0,4100,13.0
vw pickup,European,82,44.0,4,97.0,52.0,2130,24.6
honda accord lx,Japanese,78,29.5,4,98.0,68.0,2135,16.6
vw rabbit,European,80,41.5,4,98.0,76.0,2144,14.7
plymouth reliant,American,81,27.2,4,135.0,84.0,2490,15.7
ford pinto,American,71,25.0,4,98.0,,2046,19.0
chevrolet woody,American,76,24.5,4,98.0,60.0,2164,22.1
capri ii,American,76,25.0,4,140.0,92.0,2572,14.9
bmw 2002,European,70,26.0,4,121.0,113.0,2234,12.5
dodge aspen,American,80,19.1,6,225.0,90.0,3381,18.7
chevrolet monte carlo,American,70,15.0,8,400.0,150.0,3761,9.5
ford maverick,American,73,18.0,6,250.0,88.0,3021,16.5
toyota corolla tercel,Japanese,80,38.1,4,89.0,60.0,1968,18.8
plymouth valiant,American,76,22.0,6,225.0,100.0,3233,15.4
chevrolet malibu,American,78,20.5,6,200.0,95.0,3155,18.2
oldsmobile delta 88 royale,American,72,12.0,8,350.0,160.0,4456,13.5
mercury zephyr,American,78,20.8,6,200.0,85.0,3070,16.7
toyota celica gt,Japanese,82,32.0,4,144.0,96.0,2665,13.9
fiat 124b,European,71,30.0,4,88.0,76.0,2065,14.5
honda accord cvcc,Japanese,77,31.5,4,98.0,68.0,2045,18.5
maxda glc deluxe,Japanese,79,34.1,4,86.0,65.0,1975,15.2
audi 100ls,European,75,23.0,4,115.0,95.0,2694,15.0
oldsmobile starfire sx,American,78,23.8,4,151.0,85.0,2855,17.6
ford mustang ii,American,75,13.0,8,302.0,129.0,3169,12.0
toyota corona,Japanese,71,25.0,4,113.0,95.0,2228,14.0
subaru,Japanese,81,32.3,4,97.0,67.0,2065,17.8
chrysler cordoba,American,77,15.5,8,400.0,190.0,4325,12.2
plymouth custom suburb,American,73,13.0,8,360.0,170.0,4654,13.0
amc hornet,American,74,19.0,6,232.0,100.0,2901,16.0
ford country squire (sw),American,71,13.0,8,400.0,170.0,4746,12.0
maxda rx3,Japanese,73,18.0,3,70.0,90.0,2124,13.5
mazda 626,Japanese,80,31.3,4,120.0,75.0,2542,17.5
volvo 244dl,European,75,22.0,4,121.0,98.0,2945,14.5
chevrolet nova custom,American,73,16.0,6,250.0,100.0,3278,18.0
plymouth satellite custom (sw),American,72,14.0,8,318.0,150.0,4077,14.0
mercury grand marquis,American,79,16.5,8,351.0,138.0,3955,13.2
chevrolet chevelle concours (sw),American,70,,8,350.0,165.0,4142,11.5
plymouth volare,American,78,20.5,6,225.0,100.0,3430,17.2
vw rabbit custom,European,79,31.9,4,89.0,71.0,1925,14.0
renault 12tl,European,76,27.0,4,101.0,83.0,2202,15.3
pontiac catalina,American,75,16.0,8,400.0,170.0,4668,11.5
datsun 210,Japanese,79,31.8,4,85.0,65.0,2020,19.2
dodge st. regis,American,79,18.2,8,318.0,135.0,3830,15.2
mazda 626,Japanese,81,31.6,4,120.0,74.0,2635,18.3
renault 5 gtl,European,77,36.0,4,79.0,58.0,1825,18.6
amc matador (sw),American,72,15.0,8,304.0,150.0,3892,12.5
amc concord,American,80,24.3,4,151.0,90.0,3003,20.1
buick estate wagon (sw),American,79,16.9,8,350.0,155.0,4360,14.9
chevrolet camaro,American,82,27.0,4,151.0,90.0,2950,17.3
saab 99le,European,73,24.0,4,121.0,110.0,2660,14.0
pontiac j2000 se hatchback,American,82,31.0,4,112.0,85.0,2575,16.2
vw rabbit,European,76,29.0,4,90.0,70.0,1937,14.2
oldsmobile cutlass supreme,American,77,17.0,8,260.0,110.0,4060,19.0
oldsmobile cutlass salon brougham,American,78,19.9,8,260.0,110.0,3365,15.5
plymouth volare custom,American,77,19.0,6,225.0,100.0,3630,17.7
mercedes-benz 240d,European,80,30.0,4,146.0,67.0,3250,21.8
amc gremlin,American,73,18.0,6,232.0,100.0,2789,15.0
ford mustang ii 2+2,American,77,25.5,4,140.0,89.0,2755,15.8
ford ltd,American,75,14.0,8,351.0,148.0,4657,13.5
oldsmobile cutlass ciera (diesel),American,82,38.0,6,262.0,85.0,3015,17.0
volvo diesel,European,81,30.7,6,145.0,76.0,3160,19.6
amc rebel sst (sw),American,70,,8,360.0,175.0,3850,11.0
buick century special,American,78,20.6,6,231.0,105.0,3380,15.8
ford pinto,American,73,19.0,4,122.0,85.0,2310,18.5
dodge aspen,American,78,18.6,6,225.0,110.0,3620,18.7
dodge omni,American,78,30.9,4,105.0,75.0,2230,14.5
datsun 810 maxima,Japanese,81,24.2,6,146.0,120.0,2930,13.8
hi 1200d,American,70,9.0,8,304.0,193.0,4732,18.5
chevrolet impala,American,71,14.0,8,350.0,165.0,4209,12.0
chevrolet caprice classic,American,73,13.0,8,400.0,150.0,4464,12.0
volkswagen scirocco,European,78,31.5,4,89.0,71.0,1990,14.9
fiat 124 tc,European,74,26.0,4,116.0,75.0,2246,14.0
ford country squire (sw),American,79,15.5,8,351.0,142.0,4054,14.3
datsun b-210,Japanese,76,32.0,4,85.0,70.0,1990,17.0
audi 5000,European,78,20.3,5,131.0,103.0,2830,15.9
ford granada l,American,82,22.0,6,232.0,112.0,2835,14.7
amc ambassador brougham,American,73,13.0,8,360.0,175.0,3821,11.0
honda civic 1500 gl,Japanese,80,44.6,4,91.0,67.0,1850,13.8
saab 900s,European,81,,4,121.0,110.0,2800,15.4
opel 1900,European,71,28.0,4,116.0,90.0,2123,14.0
plymouth satellite sebring,American,74,18.0,6,225.0,105.0,3613,16.5
chevrolet chevelle concours (sw),American,72,13.0,8,307.0,130.0,4098,14.0
honda civic cvcc,Japanese,75,33.0,4,91.0,53.0,1795,17.5
chevrolet chevette,American,78,30.0,4,98.0,68.0,2155,16.5
plymouth duster,American,74,20.0,6,198.0,95.0,3102,16.5
toyota corona liftback,Japanese,80,29.8,4,134.0,90.0,2711,15.5
chevrolet impala,American,70,14.0,8,454.0,220.0,4354,9.0
dodge challenger se,American,70,15.0,8,383.0,170.0,3563,10.0
peugeot 504 (sw),European,72,21.0,4,120.0,87.0,2979,19.5
saab 99le,European,75,25.0,4,121.0,115.0,2671,13.5
chevrolet cavalier wagon,American,82,27.0,4,112.0,88.0,2640,18.6
plymouth reliant,American,81,30.0,4,135.0,84.0,2385,12.9
datsun 210,Japanese,80,40.8,4,85.0,65.0,2110,19.2
volkswagen 411 (sw),European,72,22.0,4,121.0,76.0,2511,18.0
dodge rampage,American,82,32.0,4,135.0,84.0,2295,11.6
amc spirit dl,American,79,27.4,4,121.0,80.0,2670,15.0
peugeot 604sl,European,78,16.2,6,163.0,133.0,3410,15.8
buick skylark,American,77,20.5,6,231.0,105.0,3425,16.9
cadillac seville,American,76,16.5,8,350.0,180.0,4380,12.1
amc concord dl,American,82,23.0,4,151.0,,3035,20.5
plymouth satellite (sw),American,70,,8,383.0,175.0,4166,10.5
honda civic,Japanese,82,38.0,4,91.0,67.0,1965,15.0
pontiac catalina brougham,American,71,14.0,8,400.0,175.0,4464,11.5
honda civic 1300,Japanese,81,35.1,4,81.0,60.0,1760,16.1
toyota corolla,Japanese,82,34.0,4,108.0,70.0,2245,16.9
opel manta,European,73,24.0,4,116.0,75.0,2158,15.5
toyota celica gt liftback,Japanese,78,21.1,4,134.0,95.0,2515,14.8
chevy s-10,American,82,31.0,4,119.0,82.0,2720,19.4
chevrolet concours,American,77,17.5,6,250.0,110.0,3520,16.4
chevrolet vega,American,74,25.0,4,140.0,75.0,2542,17.0
amc matador,American,71,18.0,6,232.0,100.0,3288,15.5
fiat 124 sport coupe,European,73,26.0,4,98.0,90.0,2265,15.5
nissan stanza xe,Japanese,82,36.0,4,120.0,88.0,2160,14.5
mercury zephyr 6,American,79,19.8,6,200.0,85.0,2990,18.2
toyouta corona mark ii (sw),Japanese,72,23.0,4,120.0,97.0,2506,14.5
datsun 200sx,Japanese,81,32.9,4,119.0,100.0,2615,14.8
dodge monaco (sw),American,71,12.0,8,383.0,180.0,4955,11.5
ford granada,American,77,18.5,6,250.0,98.0,3525,19.0
ford gran torino (sw),American,72,13.0,8,302.0,140.0,4294,16.0
dodge colt (sw),American,72,28.0,4,98.0,80.0,2164,15.0
pontiac phoenix,American,79,33.5,4,151.0,90.0,2556,13.2
chevrolet malibu classic (sw),American,79,19.2,8,267.0,125.0,3605,15.0
buick estate wagon (sw),American,70,14.0,8,455.0,225.0,3086,10.0
mercury monarch,American,75,15.0,6,250.0,72.0,3432,21.0
ford fairmont futura,American,82,24.0,4,140.0,92.0,2865,16.4
pontiac lemans v6,American,79,21.5,6,231.0,115.0,3245,15.4
fiat strada custom,European,79,37.3,4,91.0,69.0,2130,14.7
dodge diplomat,American,78,19.4,8,318.0,140.0,3735,13.2
honda accord,Japanese,80,32.4,4,107.0,72.0,2290,17.0
dodge d200,American,70,11.0,8,318.0,210.0,4382,13.5
amc matador,American,74,16.0,6,258.0,110.0,3632,18.0
toyota corona mark ii,Japanese,70,24.0,4,113.0,95.0,2372,15.0
ford escort 4w,American,81,34.4,4,98.0,65.0,2045,16.2
toyota corolla,Japanese,80,32.2,4,108.0,75.0,2265,15.2
peugeot 304,European,71,30.0,4,79.0,70.0,2074,19.5
datsun 610,Japanese,73,22.0,4,108.0,94.0,2379,16.5
dodge colt,American,80,27.9,4,156.0,105.0,2800,14.4
chevy c20,American,70,10.0,8,307.0,200.0,4376,15.0
buick century luxus (sw),American,74,13.0,8,350.0,150.0,4699,14.5
bmw 320i,European,77,21.5,4,121.0,110.0,2600,12.8
dodge coronet custom,American,73,15.0,8,318.0,150.0,3777,12.5
chrysler new yorker brougham,American,73,13.0,8,440.0,215.0,4735,11.0
chevrolet caprice classic,American,79,17.0,8,305.0,130.0,3840,15.4
pontiac grand prix lj,American,77,16.0,8,400.0,180.0,4220,11.1
chevrolet vega 2300,American,71,28.0,4,140.0,90.0,2264,15.5
opel manta,European,74,26.0,4,97.0,78.0,2300,14.5
volkswagen dasher,European,77,30.5,4,97.0,78.0,2190,14.1
plymouth horizon 4,American,81,34.7,4,105.0,63.0,2215,14.9
amc pacer d/l,American,76,17.5,6,258.0,95.0,3193,17.8
plymouth cuda 340,American,70,14.0,8,340.0,160.0,3609,8.0
chevrolet monza 2+2,American,75,20.0,8,262.0,110.0,3221,13.5
pontiac grand prix,American,73,16.0,8,400.0,230.0,4278,9.5
ford pinto runabout,American,72,21.0,4,122.0,86.0,2226,16.5
honda civic (auto),Japanese,82,32.0,4,91.0,67.0,1965,15.7
volkswagen rabbit,European,76,29.5,4,97.0,71.0,1825,12.2
ford galaxie 500,American,70,15.0,8,429.0,198.0,4341,10.0
chevrolet citation,American,80,28.0,4,151.0,90.0,2678,16.5
volkswagen type 3,European,72,23.0,4,97.0,54.0,2254,23.5
plymouth cricket,American,71,26.0,4,91.0,70.0,1955,20.5
chrysler lebaron salon,American,81,17.6,6,225.0,85.0,3465,16.6
plymouth horizon,American,79,34.2,4,105.0,70.0,2200,13.2
dodge monaco brougham,American,77,15.5,8,318.0,145.0,4140,13.7
volkswagen dasher,European,74,26.0,4,79.0,67.0,1963,15.5
chevrolet monte carlo landau,American,78,19.2,8,305.0,145.0,3425,13.2
audi 4000,European,80,34.3,4,97.0,78.0,2188,15.8
chevrolet nova,American,76,22.0,6,250.0,105.0,3353,14.5
dodge magnum xe,American,78,17.5,8,318.0,140.0,4080,13.7
ford pinto,American,75,23.0,4,140.0,83.0,2639,17.0
datsun pl510,Japanese,70,27.0,4,97.0,88.0,2130,14.5
dodge aspen se,American,76,20.0,6,225.0,100.0,3651,17.7
vw rabbit c (diesel),European,80,44.3,4,90.0,48.0,2085,21.7
datsun pl510,Japanese,71,27.0,4,97.0,88.0,2130,14.5
plymouth fury,American,75,18.0,6,225.0,95.0,3785,19.0
mercedes-benz 280s,European,76,16.5,6,168.0,120.0,3820,16.7
toyota corolla,Japanese,81,32.4,4,108.0,75.0,2350,16.8
honda accord,Japanese,82,36.0,4,107.0,75.0,2205,14.5
amc pacer,American,75,19.0,6,232.0,90.0,3211,17.0
audi 100ls,European,73,20.0,4,114.0,91.0,2582,14.0
chevrolet citation,American,81,23.5,6,173.0,110.0,2725,12.6
amc concord,American,78,19.4,6,232.0,90.0,3210,17.2
toyota corolla 1200,Japanese,74,32.0,4,71.0,65.0,1836,21.0
audi 5000s (diesel),European,80,36.4,5,121.0,67.0,2950,19.9
volkswagen rabbit custom diesel,European,78,43.1,4,90.0,48.0,1985,21.5
mazda glc 4,Japanese,81,34.1,4,91.0,68.0,1985,16.0
chrysler lebaron medallion,American,82,26.0,4,156.0,92.0,2585,14.5
amc rebel sst,American,70,16.0,8,304.0,150.0,3433,12.0
chevrolet vega,American,73,21.0,4,140.0,72.0,2401,19.5
mercury capri v6,American,73,21.0,6,155.0,107.0,2472,14.0
vokswagen rabbit,European,80,29.8,4,89.0,62.0,1845,15.3
datsun 310,Japanese,80,37.2,4,86.0,65.0,2019,16.4
chevrolet chevelle malibu,American,71,17.0,6,250.0,100.0,3329,15.5
volkswagen super beetle 117,European,71,,4,97.0,48.0,1978,20.0
chevrolet chevette,American,80,32.1,4,98.0,70.0,2120,15.5
dodge colt,American,74,28.0,4,90.0,75.0,2125,14.5
pontiac catalina,American,70,14.0,8,455.0,225.0,4425,10.0
ford country,American,73,12.0,8,400.0,167.0,4906,12.5
volvo 144ea,European,73,19.0,4,121.0,112.0,2868,15.5
ford pinto,American,76,26.5,4,140.0,72.0,2565,13.6
mazda rx2 coupe,Japanese,72,19.0,3,70.0,97.0,2330,13.5
buick lesabre custom,American,72,13.0,8,350.0,155.0,4502,13.5
mazda glc custom l,Japanese,82,37.0,4,91.0,68.0,2025,18.2
toyota carina,Japanese,73,20.0,4,97.0,88.0,2279,19.0
mazda glc deluxe,Japanese,78,32.8,4,78.0,52.0,1985,19.4
peugeot 504,European,70,25.0,4,110.0,87.0,2672,17.5
ford f108,American,76,13.0,8,302.0,130.0,3870,15.0
volkswagen model 111,European,71,27.0,4,97.0,60.0,1834,19.0
mercedes benz 300d,European,79,25.4,5,183.0,77.0,3530,20.1
ford fairmont (auto),American,78,20.2,6,200.0,85.0,2965,15.8
ford mustang boss 302,American,70,,8,302.0,140.0,3353,8.0
toyota tercel,Japanese,81,37.7,4,89.0,62.0,2050,17.3
ford maverick,American,70,21.0,6,200.0,85.0,2587,16.0
mazda rx-7 gs,Japanese,80,23.7,3,70.0,100.0,2420,12.5
chevrolet cavalier 2-door,American,82,34.0,4,112.0,88.0,2395,18.0
buick opel isuzu deluxe,American,77,30.0,4,111.0,80.0,2155,14.8
ford maverick,American,74,21.0,6,200.0,,2875,17.0
pontiac phoenix lj,American,78,19.2,6,231.0,105.0,3535,19.2
toyota corolla,Japanese,76,28.0,4,97.0,75.0,2155,16.4
datsun 510 hatchback,Japanese,80,37.0,4,119.0,92.0,2434,15.0
renault 18i,European,81,34.5,4,100.0,,2320,15.8
dodge colt m/m,American,77,33.5,4,98.0,83.0,2075,15.9
chevrolet monte carlo landau,American,77,15.5,8,350.0,170.0,4165,11.4
peugeot 504,European,75,23.0,4,120.0,88.0,2957,17.0
fiat 128,European,74,24.0,4,90.0,75.0,2108,15.5
chrysler lebaron town @ country (sw),American,79,18.5,8,360.0,150.0,3940,13.0
honda prelude,Japanese,81,33.7,4,107.0,75.0,2210,14.4
plymouth valiant custom,American,75,19.0,6,225.0,95.0,3264,16.0
amc gremlin,American,71,19.0,6,232.0,100.0,2634,13.0
toyota corolla,Japanese,75,29.0,4,97.0,75.0,2171,16.0
datsun f-10 hatchback,Japanese,77,33.5,4,85.0,70.0,1945,16.8
plymouth fury iii,American,71,14.0,8,318.0,150.0,4096,13.0
saab 99gle,European,78,21.6,4,121.0,115.0,2795,15.7
amc matador,American,73,14.0,8,304.0,150.0,3672,11.5
amc hornet,American,76,22.5,6,232.0,90.0,3085,17.6
pontiac ventura sj,American,76,18.5,6,250.0,110.0,3645,16.2
datsun 200-sx,Japanese,78,23.9,4,119.0,97.0,2405,14.9
mercury marquis,American,72,11.0,8,429.0,208.0,4633,11.0
toyota corona,Japanese,78,27.5,4,134.0,95.0,2560,14.2
toyota corolla 1200,Japanese,71,31.0,4,71.0,65.0,1773,19.0
plymouth duster,American,70,22.0,6,198.0,95.0,2833,15.5
plymouth fury iii,American,72,15.0,8,318.0,150.0,4135,13.5
peugeot 505s turbo diesel,European,81,28.1,4,141.0,80.0,3230,20.4
datsun b210,Japanese,74,31.0,4,79.0,67.0,1950,19.0
buick century,American,81,22.4,6,231.0,110.0,3415,15.8
chevrolet chevelle malibu,American,70,18.0,8,307.0,130.0,3504,12.0
dodge colt hardtop,American,72,25.0,4,97.5,80.0,2126,17.0
dodge aries se,American,82,29.0,4,135.0,84.0,2525,16.0
plymouth duster,American,73,23.0,6,198.0,95.0,2904,16.0
opel 1900,European,76,25.0,4,116.0,81.0,2220,16.9
plymouth fury gran sedan,American,73,14.0,8,318.0,150.0,4237,14.5
ford galaxie 500,American,72,14.0,8,351.0,153.0,4129,13.0
oldsmobile vista cruiser,American,73,12.0,8,350.0,180.0,4499,12.5
pontiac catalina,American,72,14.0,8,400.0,175.0,4385,12.0
saab 99e,European,70,25.0,4,104.0,95.0,2375,17.5
mercury marquis brougham,American,73,12.0,8,429.0,198.0,4952,11.5
chrysler newport royal,American,72,13.0,8,400.0,190.0,4422,12.5
datsun 710,Japanese,75,24.0,4,119.0,97.0,2545,17.0
amc hornet,American,70,18.0,6,199.0,97.0,2774,15.5
chevrolet caprice classic,American,77,17.5,8,305.0,145.0,3880,12.5
plymouth fury iii,American,70,14.0,8,440.0,215.0,4312,8.5
amc gremlin,American,70,21.0,6,199.0,90.0,2648,15.0
amc ambassador dpl,American,70,15.0,8,390.0,190.0,3850,8.5
pontiac astro,American,75,23.0,4,140.0,78.0,2592,18.5
mazda glc custom,Japanese,82,31.0,4,91.0,68.0,1970,17.6
buick skylark 320,American,70,15.0,8,350.0,165.0,3693,11.5
datsun 310 gx,Japanese,82,38.0,4,91.0,67.0,1995,16.2
pontiac sunbird coupe,American,77,24.5,4,151.0,88.0,2740,16.0
plymouth satellite custom,American,71,16.0,6,225.0,105.0,3439,15.5
toyota cressida,Japanese,81,25.4,6,168.0,116.0,2900,12.6
ford mustang gl,American,82,27.0,4,140.0,86.0,2790,15.6
honda civic cvcc,Japanese,78,36.1,4,91.0,60.0,1800,16.4
buick electra 225 custom,American,73,12.0,8,455.0,225.0,4951,11.0
mercury monarch ghia,American,78,20.2,8,302.0,139.0,3570,12.8
dodge colt,American,76,26.0,4,98.0,79.0,2255,17.7
ford ltd landau,American,79,17.6,8,302.0,129.0,3725,13.4
volvo 264gl,European,78,17.0,6,163.0,125.0,3140,13.6
ford galaxie 500,American,71,14.0,8,351.0,153.0,4154,13.5
ford gran torino (sw),American,74,14.0,8,302.0,140.0,4638,16.0
amc matador,American,75,15.0,6,258.0,110.0,3730,19.0
buick skyhawk,American,75,21.0,6,231.0,110.0,3039,15.0
volkswagen super beetle,European,73,26.0,4,97.0,46.0,1950,21.0
amc concord dl 6,American,79,20.2,6,232.0,90.0,3265,18.2
ford torino 500,American,71,19.0,6,250.0,88.0,3302,15.5
chevrolet chevette,American,76,29.0,4,85.0,52.0,2035,22.2
triumph tr7 coupe,European,80,35.0,4,122.0,88.0,2500,15.1
toyota mark ii,Japanese,76,19.0,6,156.0,108.0,2930,15.5
chevrolet vega,American,72,20.0,4,140.0,90.0,2408,19.5
datsun b210 gx,Japanese,78,39.4,4,85.0,70.0,2070,18.6
subaru dl,Japanese,77,30.0,4,97.0,67.0,1985,16.4
mercury cougar brougham,American,77,15.0,8,302.0,130.0,4295,14.9
plymouth grand fury,American,75,16.0,8,318.0,150.0,4498,14.5
datsun 710,Japanese,74,32.0,4,83.0,61.0,2003,19.0
datsun 810,Japanese,77,22.0,6,146.0,97.0,2815,14.5
amc concord d/l,American,78,18.1,6,258.0,120.0,3410,15.1
toyota corolla liftback,Japanese,77,26.0,4,97.0,75.0,2265,18.2
citroen ds-21 pallas,European,70,,4,133.0,115.0,3090,17.5
datsun 510 (sw),Japanese,72,28.0,4,97.0,92.0,2288,17.0
plymouth satellite,American,70,18.0,8,318.0,150.0,3436,11.0
dodge coronet custom (sw),American,74,14.0,8,318.0,150.0,4457,13.5
chevrolet chevette,American,77,30.5,4,98.0,63.0,2051,17.0
plymouth volare premier v8,American,76,13.0,8,318.0,150.0,3940,13.2
pontiac safari (sw),American,71,13.0,8,400.0,175.0,5140,12.0
volkswagen rabbit l,European,82,36.0,4,105.0,74.0,1980,15.3
ford pinto (sw),American,72,22.0,4,122.0,86.0,2395,16.0
ford fairmont 4,American,79,22.3,4,140.0,88.0,2890,17.3
toyota starlet,Japanese,81,39.1,4,79.0,58.0,1755,16.9
volkswagen rabbit custom,European,77,29.0,4,97.0,78.0,1940,14.5
oldsmobile cutlass salon brougham,American,79,23.9,8,260.0,90.0,3420,22.2
buick skylark,American,81,26.6,4,151.0,84.0,2635,16.4
honda civic,Japanese,76,33.0,4,91.0,53.0,1795,17.4
toyota corona,Japanese,74,31.0,4,76.0,52.0,1649,16.5
plymouth horizon miser,American,82,38.0,4,105.0,63.0,2125,14.7
dodge coronet brougham,American,76,16.0,8,318.0,150.0,4190,13.0
ford thunderbird,American,77,16.0,8,351.0,149.0,4335,14.5
mercury lynx l,American,82,36.0,4,98.0,70.0,2125,17.3
mercury capri 2000,American,71,23.0,4,122.0,86.0,2220,14.0
volkswagen 1131 deluxe sedan,European,70,26.0,4,97.0,46.0,1835,20.5
ford fiesta,American,78,36.1,4,98.0,66.0,1800,14.4
buick century limited,American,82,25.0,6,181.0,110.0,2945,16.4
ford maverick,American,75,15.0,6,250.0,72.0,3158,19.5
fiat x1.9,European,74,31.0,4,79.0,67.0,2000,16.0
pontiac firebird,American,71,19.0,6,250.0,100.0,3282,15.0
chevrolet nova,American,75,18.0,6,250.0,105.0,3459,16.0
plymouth horizon tc3,American,79,34.5,4,105.0,70.0,2150,14.9
ford mustang cobra,American,80,23.6,4,140.0,,2905,14.3
renault lecar deluxe,European,80,40.9,4,85.0,,1835,17.3
fiat 131,European,76,28.0,4,107.0,86.0,2464,15.5
ford f250,American,70,10.0,8,360.0,215.0,4615,14.0
datsun 510,Japanese,78,27.2,4,119.0,97.0,2300,14.7
plymouth arrow gs,American,77,25.5,4,122.0,96.0,2300,15.5
chevrolet cavalier,American,82,28.0,4,112.0,88.0,2605,19.6
amc ambassador sst,American,72,17.0,8,304.0,150.0,3672,11.5
peugeot 504,European,79,27.2,4,141.0,71.0,3190,24.8
volkswagen rabbit,European,75,29.0,4,90.0,70.0,1937,14.0
amc gremlin,American,75,20.0,6,232.0,100.0,2914,16.0
ford fairmont,American,80,26.4,4,140.0,88.0,2870,18.1
buick regal sport coupe (turbo),American,78,17.7,6,231.0,165.0,3445,13.4
ford pinto,American,74,26.0,4,122.0,80.0,2451,16.5
subaru,Japanese,74,26.0,4,108.0,93.0,2391,15.5
toyota corolla 1600 (sw),Japanese,72,27.0,4,97.0,88.0,2100,16.5
oldsmobile cutlass ls,American,81,26.6,8,350.0,105.0,3725,19.0
plymouth sapporo,American,78,23.2,4,156.0,105.0,2745,16.7
chevrolet malibu,American,73,13.0,8,350.0,145.0,3988,13.0
